BAD_ELECTRODES
# S1
exp32-S1-E4
exp12-S1-E3
exp31-S1-E6
exp32-S1-E6
exp29-S1-E6
exp41-S1-E7
exp12-S1-E3
exp40-S1-E7
exp27-S1-E7
exp15-S1-E4
exp13-S1-E5
exp28-S1-E7
exp19-S1-E5
exp41-S1-E4
exp29-S1-E1
exp14-S1-E1
# S2
exp12-S2-E8
exp12-S2-E11
exp14-S2-E14
exp18-S2-E8
exp18-S2-E9
exp18-S2-E12
exp18-S2-E13
exp18-S2-E14
exp19-S2-E9
exp20-S2-E10
exp21-S2-E9
exp21-S2-E10
exp21-S2-E11
exp21-S2-E12
exp21-S2-E13
exp22-S2-E9
exp22-S2-E14
# exp23-S2-E9
exp23-S2-E14
exp24-S2-E14
exp27-S2-E8
exp28-S2-E8
exp28-S2-E9
exp28-S2-E13
exp28-S2-E14
exp31-S2-E14
exp32-S2-E14
exp33-S2-E10
exp33-S2-E12
exp33-S2-E13
exp33-S2-E14
exp34-S2-E10
exp36-S2-E8
exp36-S2-E14
exp37-S2-E8
exp37-S2-E14
exp38-S2-E10
exp38-S2-E11
exp39-S2-E11
exp40-S2-E11
exp45-S2-E13
exp46-S2-E13
exp48-S2-E10
exp49-S2-E12
exp52-S2-E12
exp55-S2-E8
exp55-S2-E11
exp58-S2-E8
exp59-S2-E8
exp60-S2-E8
exp64-S2-E8
exp65-S2-E13
exp67-S2-E13
exp68-S2-E13
exp15-S2-E9
exp27-S2-E14
exp34-S2-E14
exp36-S2-E9
exp37-S2-E9
exp38-S2-E14
exp39-S2-E14
exp57-S2-E8
exp62-S2-E10
# VPC
exp24-VPC-E24
# DPC
exp29-DPC-E24
exp33-DPC-E22
exp33-DPC-E23
exp33-DPC-E24
exp33-DPC-E25
exp34-DPC-E22
exp38-DPC-E28
exp38-DPC-E23
exp38-DPC-E27
exp38-DPC-E24
exp39-DPC-E23
exp39-DPC-E26
exp39-DPC-E27
exp39-DPC-E28
exp43-DPC-E26
exp44-DPC-E26
exp49-DPC-E26
# MPC
exp13-MPC-left-E15
exp13-MPC-left-E18
exp13-MPC-left-E20
exp13-MPC-left-E15
exp14-MPC-left-E17
exp14-MPC-left-E20
exp14-MPC-left-E21
exp15-MPC-left-E15
exp15-MPC-left-E17
exp15-MPC-left-E19
exp15-MPC-left-E21
exp21-MPC-left-E21
exp34-MPC-left-E15
exp38-MPC-left-E19
exp38-MPC-left-E21
exp39-MPC-left-E21
exp40-MPC-left-E16
exp40-MPC-left-E17
exp40-MPC-left-E18
exp40-MPC-left-E20
exp41-MPC-left-E18
exp41-MPC-left-E20
exp55-MPC-right-E16
exp55-MPC-right-E17
exp55-MPC-right-E18
exp55-MPC-right-E19
exp55-MPC-right-E20
exp55-MPC-right-E21
exp57-MPC-right-E16
exp57-MPC-right-E21
exp58-MPC-right-E17
exp58-MPC-right-E20
exp59-MPC-right-E15
exp59-MPC-right-E17
exp59-MPC-right-E18
exp59-MPC-right-E21
exp60-MPC-right-E21
exp67-MPC-right-E17
# M1
exp19-M1-E32
exp27-M1-E34
exp28-M1-E34
exp31-M1-E29
exp31-M1-E31
exp31-M1-E32
exp32-M1-E29
exp32-M1-E31
exp32-M1-E32
exp33-M1-E29
exp33-M1-E30
exp33-M1-E32
exp34-M1-E29
exp34-M1-E30
exp34-M1-E31
exp34-M1-E33
exp37-M1-E32
exp38-M1-E29
exp38-M1-E32
exp38-M1-E33
exp39-M1-E29
exp39-M1-E33
exp41-M1-E33
exp42-M1-E30
exp42-M1-E33
exp45-M1-E33
exp46-M1-E29
exp46-M1-E30
exp46-M1-E33
exp55-M1-E32
exp56-M1-E33
exp68-M1-E33
